sequence_name,sample_date,epi_week,epi_date,lineage
England/LSPA-3CA3D12/2022,2022-03-25,117,2022-03-20,BA.1
England/LSPA-3CAA337/2022,2022-03-25,117,2022-03-20,BA.1
Scotland/QEUH-3C873F4/2022,2022-03-25,117,2022-03-20,BA.1
Scotland/QEUH-3C5C9C9/2022,2022-03-25,117,2022-03-20,BA.1
Scotland/QEUH-3C602C7/2022,2022-03-25,117,2022-03-20,BA.1
England/LSPA-3C618D3/2022,2022-03-25,117,2022-03-20,BA.1
England/LSPA-3C60986/2022,2022-03-25,117,2022-03-20,BA.1
England/QEUH-3C5D5D3/2022,2022-03-25,117,2022-03-20,BA.1
England/LSPA-3C442AB/2022,2022-03-25,117,2022-03-20,BA.1
England/LSPA-3C556BA/2022,2022-03-25,117,2022-03-20,BA.1
England/NEWC-3C52161/2022,2022-03-25,117,2022-03-20,BA.1
Scotland/QEUH-3C57BD7/2022,2022-03-25,117,2022-03-20,BA.1
Scotland/QEUH-3C4FE7F/2022,2022-03-25,117,2022-03-20,BA.1
Scotland/EDB54740/2022,2022-03-24,117,2022-03-20,BA.1
Scotland/EDB54739/2022,2022-03-24,117,2022-03-20,BA.1
England/PHEC-YYRYR1U/2022,2022-03-24,117,2022-03-20,BA.1
England/PHEP-YYRSNFD/2022,2022-03-24,117,2022-03-20,BA.1
England/PHEP-YYRWS4E/2022,2022-03-24,117,2022-03-20,BA.1
England/QEUH-3C5E059/2022,2022-03-24,117,2022-03-20,BA.1
England/NEWC-3C545BE/2022,2022-03-24,117,2022-03-20,BA.1
England/ALDP-3C4B611/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C2D77C/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C378A9/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C37F4A/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C380BF/2022,2022-03-24,117,2022-03-20,BA.1
England/NEWC-3C5A0D5/2022,2022-03-24,117,2022-03-20,BA.1
Scotland/QEUH-3C4E8CD/2022,2022-03-24,117,2022-03-20,BA.1
Scotland/QEUH-3C1F3E2/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C17CB2/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C27192/2022,2022-03-24,117,2022-03-20,BA.1
England/LSPA-3C2B4B3/2022,2022-03-24,117,2022-03-20,BA.1
England/ARCH-002988G1/2022,2022-03-24,117,2022-03-20,BA.1
Scotland/SCOT-9178/2022,2022-03-23,117,2022-03-20,BA.1
England/ALDP-3C3BEB2/2022,2022-03-23,117,2022-03-20,BA.1
Wales/LSPA-3C30891/2022,2022-03-23,117,2022-03-20,BA.1
Scotland/QEUH-3C10A73/2022,2022-03-23,117,2022-03-20,BA.1
England/ALDP-3C1896F/2022,2022-03-23,117,2022-03-20,BA.1
Scotland/QEUH-3C1749C/2022,2022-03-23,117,2022-03-20,BA.1
Scotland/QEUH-3C1D988/2022,2022-03-23,117,2022-03-20,BA.1
England/ALDP-3C243CC/2022,2022-03-23,117,2022-03-20,BA.1
England/LSPA-3C008C7/2022,2022-03-23,117,2022-03-20,BA.1
England/LSPA-3C0480F/2022,2022-03-23,117,2022-03-20,BA.1
England/LSPA-3BFF835/2022,2022-03-23,117,2022-03-20,BA.1
England/MILK-3C14A33/2022,2022-03-23,117,2022-03-20,BA.1
England/LSPA-3BFDD38/2022,2022-03-23,117,2022-03-20,BA.1
England/LSPA-3BFD6B5/2022,2022-03-23,117,2022-03-20,BA.1
England/LSPA-3BFDF8D/2022,2022-03-23,117,2022-03-20,BA.1
Scotland/QEUH-3BF0D26/2022,2022-03-23,117,2022-03-20,BA.1
Scotland/QEUH-3BFD0D5/2022,2022-03-23,117,2022-03-20,BA.1
England/PLYM-3BE03BE/2022,2022-03-23,117,2022-03-20,BA.1
England/ARCH-002983C12/2022,2022-03-23,117,2022-03-20,BA.1
England/PHEC-YYRJOHB/2022,2022-03-22,117,2022-03-20,BA.1
England/PHEC-YYRJ6UF/2022,2022-03-22,117,2022-03-20,BA.1
Wales/PHWC-PJURZD/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/SCOT-9124/2022,2022-03-22,117,2022-03-20,BA.1
England/PHEP-YYRW98G/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/CVR15329/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/QEUH-3C05358/2022,2022-03-22,117,2022-03-20,BA.1
England/LSPA-3C08FD9/2022,2022-03-22,117,2022-03-20,BA.1
England/NORT-YNNWPYR/2022,2022-03-22,117,2022-03-20,BA.1
England/NORT-YNNWAEJ/2022,2022-03-22,117,2022-03-20,BA.1
England/MILK-3C034DF/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/QEUH-3C0E832/2022,2022-03-22,117,2022-03-20,BA.1
England/LSPA-3BF5477/2022,2022-03-22,117,2022-03-20,BA.1
England/MILK-3BEC40A/2022,2022-03-22,117,2022-03-20,BA.1
England/NEWC-3BEE453/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/QEUH-3BF95E9/2022,2022-03-22,117,2022-03-20,BA.1
England/ALDP-3C0B60E/2022,2022-03-22,117,2022-03-20,BA.1
England/LSPA-3C019C3/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/QEUH-3C00469/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/QEUH-3BCBBB1/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/NEWC-3BE919D/2022,2022-03-22,117,2022-03-20,BA.1
England/MILK-3BDF9DE/2022,2022-03-22,117,2022-03-20,BA.1
England/MILK-3BEBE94/2022,2022-03-22,117,2022-03-20,BA.1
Scotland/QEUH-3BD41B3/2022,2022-03-21,117,2022-03-20,BA.1
England/LSPA-3BDAC8F/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/CVR15374/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/CVR15372/2022,2022-03-21,117,2022-03-20,BA.1
England/QEUH-3C0E692/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/QEUH-3BD5D45/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/QEUH-3BD5C75/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/QEUH-3BD60D2/2022,2022-03-21,117,2022-03-20,BA.1
England/LSPA-3BD3864/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/QEUH-3BCCAA4/2022,2022-03-21,117,2022-03-20,BA.1
England/ALDP-3BE9ACF/2022,2022-03-21,117,2022-03-20,BA.1
England/ALDP-3BE9EC3/2022,2022-03-21,117,2022-03-20,BA.1
England/LSPA-3BBF41F/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/QEUH-3BA9919/2022,2022-03-21,117,2022-03-20,BA.1
Scotland/QEUH-3BA784B/2022,2022-03-21,117,2022-03-20,BA.1
England/ARCH-002953G7/2022,2022-03-21,117,2022-03-20,BA.1
England/LSPA-3CA3CBB/2022,2022-03-20,117,2022-03-20,BA.1
Wales/PHWC-PJ1R6Z/2022,2022-03-20,117,2022-03-20,BA.1
Scotland/QEUH-3BBC6B2/2022,2022-03-20,117,2022-03-20,BA.1
Scotland/QEUH-3BC7E70/2022,2022-03-20,117,2022-03-20,BA.1
England/ALDP-3B87F4C/2022,2022-03-20,117,2022-03-20,BA.1
England/ALDP-3B88136/2022,2022-03-20,117,2022-03-20,BA.1
England/PLYM-3B83915/2022,2022-03-20,117,2022-03-20,BA.1
England/LSPA-3B9B6E6/2022,2022-03-20,117,2022-03-20,BA.1
England/MILK-3B6E136/2022,2022-03-20,117,2022-03-20,BA.1
England/MILK-3B6C44E/2022,2022-03-20,117,2022-03-20,BA.1
England/PHEC-YYDHBKX/2022,2022-03-19,116,2022-03-13,BA.1
England/PHEC-YYDZXS1/2022,2022-03-19,116,2022-03-13,BA.1
Wales/PHWC-PJTETX/2022,2022-03-19,116,2022-03-13,BA.1
England/BRBR-3BA1D51/2022,2022-03-19,116,2022-03-13,BA.1
Scotland/QEUH-3BA26FB/2022,2022-03-19,116,2022-03-13,BA.1
Scotland/QEUH-3BA4E79/2022,2022-03-19,116,2022-03-13,BA.1
Scotland/QEUH-3BADAC7/2022,2022-03-19,116,2022-03-13,BA.1
Scotland/QEUH-3BA9DA4/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3BB8D1B/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3BB6F35/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3BB720E/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3BB72D1/2022,2022-03-19,116,2022-03-13,BA.1
England/BRBR-3B9D198/2022,2022-03-19,116,2022-03-13,BA.1
England/BRBR-3B88C17/2022,2022-03-19,116,2022-03-13,BA.1
England/ALDP-3B8ABBE/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B93E9B/2022,2022-03-19,116,2022-03-13,BA.1
England/BRBR-3B93C64/2022,2022-03-19,116,2022-03-13,BA.1
Scotland/QEUH-3B9FF50/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B8F4DC/2022,2022-03-19,116,2022-03-13,BA.1
England/MILK-3B6484A/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B5B3EB/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B5C265/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B5C326/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B75B98/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B75FF6/2022,2022-03-19,116,2022-03-13,BA.1
England/MILK-3B66BF4/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B71ADB/2022,2022-03-19,116,2022-03-13,BA.1
England/LSPA-3B718B3/2022,2022-03-19,116,2022-03-13,BA.1
England/MILK-3B61968/2022,2022-03-19,116,2022-03-13,BA.1
England/MILK-3B64EDF/2022,2022-03-19,116,2022-03-13,BA.1
England/MILK-3B6C587/2022,2022-03-19,116,2022-03-13,BA.1
England/PHEC-YYRKFN9/2022,2022-03-18,116,2022-03-13,BA.1
Scotland/EDB52556/2022,2022-03-18,116,2022-03-13,BA.1
England/LSPA-3B7FBAD/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B8ACE8/2022,2022-03-18,116,2022-03-13,BA.1
England/QEUH-3B7648D/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B8C202/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B8BD8A/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B85FC6/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B85F8A/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B8601D/2022,2022-03-18,116,2022-03-13,BA.1
England/ALDP-3B85FD5/2022,2022-03-18,116,2022-03-13,BA.1
England/LSPA-3B59338/2022,2022-03-18,116,2022-03-13,BA.1
Scotland/QEUH-3B6861F/2022,2022-03-18,116,2022-03-13,BA.1
England/LSPA-3B77219/2022,2022-03-18,116,2022-03-13,BA.1
England/DHSC-CYFMS7E/2022,2022-03-18,116,2022-03-13,BA.1
England/MILK-3B42E7D/2022,2022-03-18,116,2022-03-13,BA.1
England/QEUH-3B37118/2022,2022-03-18,116,2022-03-13,BA.1
England/MILK-3B44E7B/2022,2022-03-18,116,2022-03-13,BA.1
England/MILK-3B48202/2022,2022-03-18,116,2022-03-13,BA.1
England/LSPA-3B40DBE/2022,2022-03-18,116,2022-03-13,BA.1
England/LSPA-3B408CC/2022,2022-03-18,116,2022-03-13,BA.1
England/MILK-3B3D121/2022,2022-03-18,116,2022-03-13,BA.1
England/LSPA-3B53F0D/2022,2022-03-18,116,2022-03-13,BA.1
Wales/LSPA-3B4CDFE/2022,2022-03-18,116,2022-03-13,BA.1
England/PHEC-YYRBIQJ/2022,2022-03-17,116,2022-03-13,BA.1
England/PHEC-YYDHBYD/2022,2022-03-17,116,2022-03-13,BA.1
Wales/PHWC-PJ1JTC/2022,2022-03-17,116,2022-03-13,BA.1
England/PHEC-YYDZU8P/2022,2022-03-17,116,2022-03-13,BA.1
England/PHEC-YYDZSD1/2022,2022-03-17,116,2022-03-13,BA.1
Wales/PHWC-PJTNIP/2022,2022-03-17,116,2022-03-13,BA.1
Wales/PHWC-PJTNQH/2022,2022-03-17,116,2022-03-13,BA.1
Wales/PHWC-PJTN3F/2022,2022-03-17,116,2022-03-13,BA.1
Wales/PHWC-PJTDZE/2022,2022-03-17,116,2022-03-13,BA.1
England/NORT-YNNTM9P/2022,2022-03-17,116,2022-03-13,BA.1
England/PHEP-YYR1UJ1/2022,2022-03-17,116,2022-03-13,BA.1
England/PHEP-YYR1O9E/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B2B6EB/2022,2022-03-17,116,2022-03-13,BA.1
England/PHEP-YYR14B5/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B69BD3/2022,2022-03-17,116,2022-03-13,BA.1
England/ALDP-3B58E83/2022,2022-03-17,116,2022-03-13,BA.1
England/PLYM-3B57CE4/2022,2022-03-17,116,2022-03-13,BA.1
England/PLYM-3B57112/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B42824/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B52C9E/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B34E7E/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B36911/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B3A77D/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B3A8A7/2022,2022-03-17,116,2022-03-13,BA.1
England/ALDP-3B3B8C4/2022,2022-03-17,116,2022-03-13,BA.1
England/PLYM-3B5152B/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B320B6/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B4A473/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B30346/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B20E39/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B1DB0B/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B1C182/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B1D9D4/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B1D6BF/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B17099/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B1756D/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B2604C/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B1377A/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B11DC5/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B27C38/2022,2022-03-17,116,2022-03-13,BA.1
England/LSPA-3B27E8D/2022,2022-03-17,116,2022-03-13,BA.1
England/QEUH-3B14278/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B238CF/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B236A7/2022,2022-03-17,116,2022-03-13,BA.1
Scotland/QEUH-3B226C6/2022,2022-03-17,116,2022-03-13,BA.1
England/NEWC-3AB4E95/2022,2022-03-17,116,2022-03-13,BA.1
England/NORT-YNNOT5T/2022,2022-03-16,116,2022-03-13,BA.1
England/NORT-YNNOIPK/2022,2022-03-16,116,2022-03-13,BA.1
Wales/PHWC-PJPA6Q/2022,2022-03-16,116,2022-03-13,BA.1
England/PHEC-YYDI4EE/2022,2022-03-16,116,2022-03-13,BA.1
England/PHEC-YYDI4P6/2022,2022-03-16,116,2022-03-13,BA.1
England/PHEC-YYDUT5Q/2022,2022-03-16,116,2022-03-13,BA.1
England/PHEC-YYDUTZS/2022,2022-03-16,116,2022-03-13,BA.1
England/PHEP-YYRTMSB/2022,2022-03-16,116,2022-03-13,BA.1
Wales/PHWC-PJCO56/2022,2022-03-16,116,2022-03-13,BA.1
England/ALDP-3B3A19D/2022,2022-03-16,116,2022-03-13,BA.1
England/ALDP-3B3EBD7/2022,2022-03-16,116,2022-03-13,BA.1
England/ALDP-3B32F9B/2022,2022-03-16,116,2022-03-13,BA.1
England/ALDP-3B33B5A/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3B1FC24/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3B1F8B7/2022,2022-03-16,116,2022-03-13,BA.1
England/ALDP-3B18696/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3B1BCFB/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3B25D82/2022,2022-03-16,116,2022-03-13,BA.1
England/ALDP-3B11484/2022,2022-03-16,116,2022-03-13,BA.1
England/NORT-YNNX5P8/2022,2022-03-16,116,2022-03-13,BA.1
England/NORT-YNNX43X/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3B14EB0/2022,2022-03-16,116,2022-03-13,BA.1
England/NEWC-3B10591/2022,2022-03-16,116,2022-03-13,BA.1
England/NEWC-3B1043A/2022,2022-03-16,116,2022-03-13,BA.1
England/NEWC-3B106BC/2022,2022-03-16,116,2022-03-13,BA.1
England/NEWC-3B10582/2022,2022-03-16,116,2022-03-13,BA.1
England/NEWC-3B10458/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AFBF9F/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AF6BFA/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AECA18/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AF0431/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AEB035/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AEAC32/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AEC24D/2022,2022-03-16,116,2022-03-13,BA.1
England/LSPA-3AFFECB/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AF14D6/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3B037AA/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AF7018/2022,2022-03-16,116,2022-03-13,BA.1
England/LSPA-3B03ACF/2022,2022-03-16,116,2022-03-13,BA.1
Scotland/QEUH-3AF8967/2022,2022-03-16,116,2022-03-13,BA.1
England/MILK-3ACBDCB/2022,2022-03-16,116,2022-03-13,BA.1
England/MILK-3AC6A23/2022,2022-03-16,116,2022-03-13,BA.1
England/PHEC-YYD48QF/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJXHGZ/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJX4JU/2022,2022-03-15,116,2022-03-13,BA.1
England/PHEC-YYD45BM/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJQHX8/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJQHYF/2022,2022-03-15,116,2022-03-13,BA.1
England/NORT-YNNOGRM/2022,2022-03-15,116,2022-03-13,BA.1
England/PHEP-YYR1OZA/2022,2022-03-15,116,2022-03-13,BA.1
England/PHEP-YYR1Z6D/2022,2022-03-15,116,2022-03-13,BA.1
England/PHEC-YYDU3JM/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJC5A3/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJCTP4/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJMWSG/2022,2022-03-15,116,2022-03-13,BA.1
Wales/PHWC-PJMIUM/2022,2022-03-15,116,2022-03-13,BA.1
Scotland/QEUH-3B0EF6B/2022,2022-03-15,116,2022-03-13,BA.1
England/NORT-YNNX8OW/2022,2022-03-15,116,2022-03-13,BA.1
England/PLYM-3B181E0/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3AE5CEC/2022,2022-03-15,116,2022-03-13,BA.1
Scotland/QEUH-3ADB742/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3B02811/2022,2022-03-15,116,2022-03-13,BA.1
England/ALDP-3B00DBA/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3B0236B/2022,2022-03-15,116,2022-03-13,BA.1
England/ALDP-3B00D14/2022,2022-03-15,116,2022-03-13,BA.1
Scotland/QEUH-3AF644A/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3B04BDA/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3B04F56/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3B046D9/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3B04080/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3ADF2E3/2022,2022-03-15,116,2022-03-13,BA.1
England/BRBR-3AE058C/2022,2022-03-15,116,2022-03-13,BA.1
Scotland/NEWC-3ACC47A/2022,2022-03-15,116,2022-03-13,BA.1
England/NEWC-3ACA218/2022,2022-03-15,116,2022-03-13,BA.1
Scotland/SCOT-7670/2022,2022-03-15,116,2022-03-13,BA.1
England/MILK-3AD95C2/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3AC91A3/2022,2022-03-15,116,2022-03-13,BA.1
England/MILK-3AC50AA/2022,2022-03-15,116,2022-03-13,BA.1
England/MILK-3AC4DC2/2022,2022-03-15,116,2022-03-13,BA.1
England/PHEP-YYRX9IW/2022,2022-03-15,116,2022-03-13,BA.1
England/ALDP-3AC8DBF/2022,2022-03-15,116,2022-03-13,BA.1
England/ALDP-3AC8B88/2022,2022-03-15,116,2022-03-13,BA.1
England/NEWC-3AD4C68/2022,2022-03-15,116,2022-03-13,BA.1
England/LSPA-3AD3197/2022,2022-03-15,116,2022-03-13,BA.1
England/ARCH-002932H7/2022,2022-03-15,116,2022-03-13,BA.1
England/ARCH-002934B9/2022,2022-03-15,116,2022-03-13,BA.1
England/ARCH-002934E12/2022,2022-03-15,116,2022-03-13,BA.1
England/PHEC-5X089ZDD/2022,2022-03-15,116,2022-03-13,BA.1
Wales/NORT-YNNTN6A/2022,2022-03-14,116,2022-03-13,BA.1
Wales/PHWC-PJPMWX/2022,2022-03-14,116,2022-03-13,BA.1
England/LSPA-3B0E61B/2022,2022-03-14,116,2022-03-13,BA.1
England/LSPA-3AE53C9/2022,2022-03-14,116,2022-03-13,BA.1
England/ALDP-3AE7BFC/2022,2022-03-14,116,2022-03-13,BA.1
England/ALDP-3AFEF23/2022,2022-03-14,116,2022-03-13,BA.1
England/LSPA-3ADC978/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AD9665/2022,2022-03-14,116,2022-03-13,BA.1
Wales/ALDP-3AEF67B/2022,2022-03-14,116,2022-03-13,BA.1
England/LSPA-3B05359/2022,2022-03-14,116,2022-03-13,BA.1
England/ALDP-3ACEA67/2022,2022-03-14,116,2022-03-13,BA.1
England/ALDP-3ACEAC1/2022,2022-03-14,116,2022-03-13,BA.1
England/NEWC-3ACA4D6/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AB79FB/2022,2022-03-14,116,2022-03-13,BA.1
England/BRBR-3AB6A26/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/SCOT-7623/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AC1CAA/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AC222F/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AC3060/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AC24DE/2022,2022-03-14,116,2022-03-13,BA.1
England/NORT-YNNQ5R5/2022,2022-03-14,116,2022-03-13,BA.1
England/NORT-YNNQ5PJ/2022,2022-03-14,116,2022-03-13,BA.1
England/NORT-YNNQ3SA/2022,2022-03-14,116,2022-03-13,BA.1
England/BRBR-3ADA0A2/2022,2022-03-14,116,2022-03-13,BA.1
England/LSPA-3AC9246/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AB34B2/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3AB73DF/2022,2022-03-14,116,2022-03-13,BA.1
England/DHSC-CYYBG33/2022,2022-03-14,116,2022-03-13,BA.1
England/PHEP-YYRON1W/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3ABFC27/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3ABE420/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3ABFF1F/2022,2022-03-14,116,2022-03-13,BA.1
England/MILK-3ABDC92/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3ABB089/2022,2022-03-14,116,2022-03-13,BA.1
England/BRBR-3ABC783/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3ABBEDA/2022,2022-03-14,116,2022-03-13,BA.1
Scotland/QEUH-3ABBC58/2022,2022-03-14,116,2022-03-13,BA.1
